Project Key,Project Name,Story Key,Status,Priority,Created,Summary
ET,BitCode Team,ET-13701,Finalizada,Highest,2023-08-15T16:15:32.464-0600,PU MS Reconciliatión
PP,Bug Hunters,PP-9570,Finalizada,Highest,2023-08-15T16:15:10.973-0600,Limitar el proceso de aprobaciones del libro de tesoreria 
ET,BitCode Team,ET-13700,Finalizada,Highest,2023-08-15T16:13:28.685-0600,MS Report: Creación de reporte de pagos de Servimas
ET,BitCode Team,ET-13699,Finalizada,Highest,2023-08-15T16:11:16.689-0600,Creación de asiento contable en formato Json
ET,BitCode Team,ET-13698,Finalizada,Highest,2023-08-15T16:01:13.929-0600,MS Core: lectura de servicio SFTP
ET,BitCode Team,ET-13697,Finalizada,Highest,2023-08-15T15:59:43.535-0600,Spike tipo de moneda en comisiones Servimas
ET,BitCode Team,ET-13696,Finalizada,Highest,2023-08-15T15:55:29.855-0600,Crear SP conciliaciones Servimas
ET,BitCode Team,ET-13694,Finalizada,Highest,2023-08-15T15:49:04.353-0600,Registrar diferencias Servimas en resumen de conciliaciones
ADI,Investor,ADI-8718,Finalizada,Highest,2023-08-15T11:01:50.016-0600,Agregar alerta de movimientos pendientes de aprobación en asiento de inversiones asiento 61 y 62 
ADI,Investor,ADI-8717,Finalizada,Highest,2023-08-15T10:35:28.513-0600,Carga automática de asientos por TRM
OS,OPC Squad,OS-10376,Finalizada,Highest,2023-08-15T10:10:35.348-0600,Ajuste diferencias en conciliación rezagos
ADI,Investor,ADI-8714,Finalizada,Highest,2023-08-15T09:36:08.757-0600,Registro de inversiones que superan el máximo de inversión del fondo
